image_path,annotation
E:\wei\glandular1536_20211217\images\1110441 0893050.mrxs_x18061_y74595_side1536.jpg,0 681 697 856 840;
E:\wei\glandular1536_20211217\images\1110441 0893050.mrxs_x58264_y80159_side1536.jpg,0 512 607 1024 929;
E:\wei\glandular1536_20211217\images\1126542 0893232.mrxs_x10300_y115249_side1536.jpg,0 649 665 888 872;
E:\wei\glandular1536_20211217\images\1126542 0893232.mrxs_x11385_y100040_side1536.jpg,0 313 576 1224 960;
E:\wei\glandular1536_20211217\images\1126542 0893232.mrxs_x13496_y113405_side1536.jpg,0 523 637 1014 899;
E:\wei\glandular1536_20211217\images\1126542 0893232.mrxs_x13637_y106513_side1536.jpg,0 431 561 1105 976;
E:\wei\glandular1536_20211217\images\1126542 0893232.mrxs_x13719_y124301_side1536.jpg,0 664 670 873 867;
E:\wei\glandular1536_20211217\images\1126542 0893232.mrxs_x14101_y136029_side1536.jpg,0 638 493 898 1043;
E:\wei\glandular1536_20211217\images\1126542 0893232.mrxs_x14315_y111366_side1536.jpg,0 561 564 975 973;
E:\wei\glandular1536_20211217\images\1126542 0893232.mrxs_x16951_y88597_side1536.jpg,0 537 485 999 1051;
E:\wei\glandular1536_20211217\images\1126542 0893232.mrxs_x17128_y120840_side1536.jpg,0 565 604 972 932;
E:\wei\glandular1536_20211217\images\1126542 0893232.mrxs_x17295_y83646_side1536.jpg,0 555 363 981 1173;
E:\wei\glandular1536_20211217\images\1126542 0893232.mrxs_x18594_y125538_side1536.jpg,0 429 405 1108 1132;
E:\wei\glandular1536_20211217\images\1126542 0893232.mrxs_x1180_y94247_side1536.jpg,0 612 659 925 877;
E:\wei\glandular1536_20211217\images\1126542 0893232.mrxs_x19762_y106747_side1536.jpg,0 568 623 968 914;
E:\wei\glandular1536_20211217\images\1126542 0893232.mrxs_x19728_y135017_side1536.jpg,0 305 501 1231 1036;
E:\wei\glandular1536_20211217\images\1126542 0893232.mrxs_x25848_y75834_side1536.jpg,0 483 776 1034 1248;0 512 284 1045 764;
E:\wei\glandular1536_20211217\images\1126542 0893232.mrxs_x28923_y139342_side1536.jpg,0 414 440 1123 1096;
E:\wei\glandular1536_20211217\images\1126542 0893232.mrxs_x30669_y120444_side1536.jpg,0 239 325 1298 1211;
E:\wei\glandular1536_20211217\images\1126542 0893232.mrxs_x32730_y77537_side1536.jpg,0 520 562 1017 975;
E:\wei\glandular1536_20211217\images\1126542 0893232.mrxs_x34909_y103508_side1536.jpg,0 656 673 880 864;
E:\wei\glandular1536_20211217\images\1126542 0893232.mrxs_x34923_y145397_side1536.jpg,0 625 645 912 892;
E:\wei\glandular1536_20211217\images\1126542 0893232.mrxs_x35910_y74318_side1536.jpg,0 454 339 1083 1197;
E:\wei\glandular1536_20211217\images\1126542 0893232.mrxs_x36279_y100882_side1536.jpg,0 642 594 895 942;
E:\wei\glandular1536_20211217\images\1126542 0893232.mrxs_x38500_y70533_side1536.jpg,0 316 411 1220 1126;
E:\wei\glandular1536_20211217\images\1126542 0893232.mrxs_x38499_y136538_side1536.jpg,0 505 503 1031 1034;
E:\wei\glandular1536_20211217\images\1126542 0893232.mrxs_x42392_y127454_side1536.jpg,0 592 539 945 998;
E:\wei\glandular1536_20211217\images\1126542 0893232.mrxs_x43053_y65044_side1536.jpg,0 415 661 780 1011;0 779 495 1101 905;
E:\wei\glandular1536_20211217\images\1126542 0893232.mrxs_x44830_y139821_side1536.jpg,0 614 630 923 907;
E:\wei\glandular1536_20211217\images\1126542 0893232.mrxs_x47022_y137481_side1536.jpg,0 392 591 1145 946;
E:\wei\glandular1536_20211217\images\1126542 0893232.mrxs_x48539_y105814_side1536.jpg,0 510 450 1027 1087;
E:\wei\glandular1536_20211217\images\1126542 0893232.mrxs_x50363_y131922_side1536.jpg,0 580 581 957 955;
E:\wei\glandular1536_20211217\images\1126542 0893232.mrxs_x50781_y107946_side1536.jpg,0 590 651 947 885;
E:\wei\glandular1536_20211217\images\1126542 0893232.mrxs_x54363_y102982_side1536.jpg,0 521 568 1015 968;
E:\wei\glandular1536_20211217\images\1126542 0893232.mrxs_x55502_y106628_side1536.jpg,0 386 634 1151 903;
E:\wei\glandular1536_20211217\images\1126542 0893232.mrxs_x56628_y130147_side1536.jpg,0 422 565 1114 971;
E:\wei\glandular1536_20211217\images\1126542 0893232.mrxs_x58398_y106502_side1536.jpg,0 566 631 970 906;
E:\wei\glandular1536_20211217\images\1126542 0893232.mrxs_x59295_y106650_side1536.jpg,0 594 545 943 991;
E:\wei\glandular1536_20211217\images\1126542 0893232.mrxs_x59522_y107727_side1536.jpg,0 185 447 1351 1090;
E:\wei\glandular1536_20211217\images\1126542 0893232.mrxs_x59656_y103779_side1536.jpg,0 688 654 848 882;
E:\wei\glandular1536_20211217\images\1126542 0893232.mrxs_x5454_y83051_side1536.jpg,0 505 593 1032 943;
E:\wei\glandular1536_20211217\images\1126542 0893232.mrxs_x62334_y103290_side1536.jpg,0 570 462 966 1075;
E:\wei\glandular1536_20211217\images\1126542 0893232.mrxs_x62511_y100386_side1536.jpg,0 625 636 911 900;
E:\wei\glandular1536_20211217\images\1126542 0893232.mrxs_x64093_y72990_side1536.jpg,0 515 503 1022 1034;
E:\wei\glandular1536_20211217\images\1126542 0893232.mrxs_x64316_y134617_side1536.jpg,0 578 592 959 945;
E:\wei\glandular1536_20211217\images\1126542 0893232.mrxs_x67763_y93774_side1536.jpg,0 224 447 1312 1090;
E:\wei\glandular1536_20211217\images\1126542 0893232.mrxs_x68253_y114035_side1536.jpg,0 547 821 937 1175;0 521 233 1068 846;
E:\wei\glandular1536_20211217\images\1126542 0893232.mrxs_x69646_y99547_side1536.jpg,0 251 283 1285 1254;
E:\wei\glandular1536_20211217\images\1126542 0893232.mrxs_x70351_y105784_side1536.jpg,0 647 651 890 885;
E:\wei\glandular1536_20211217\images\1126542 0893232.mrxs_x70717_y113988_side1536.jpg,0 449 612 1087 925;
E:\wei\glandular1536_20211217\images\1126542 0893232.mrxs_x74207_y90061_side1536.jpg,0 569 753 749 1111;0 637 351 1120 860;
E:\wei\glandular1536_20211217\images\1126542 0893232.mrxs_x74693_y132011_side1536.jpg,0 553 325 984 1212;
E:\wei\glandular1536_20211217\images\1126542 0893232.mrxs_x75853_y101653_side1536.jpg,0 619 638 917 899;
